Crop,Country,District,Year,Month,Rainfall_mm,Temperature_C,Fertilizer,N,P,K,Yield_t_per_ha
Cinnamon,Sri Lanka,Kalutara,2020,3,142.32,23.24,69.98,58.05,20.39,18.73,0.7
Rice,Sri Lanka,Kurunegala,2025,8,192.95,31.27,81.84,53.44,27.58,15.37,4.43
Sugarcane,Sri Lanka,Anuradhapura,2016,2,62.15,28.59,72.26,57.13,21.62,24.56,77.89
Sugarcane,Sri Lanka,Anuradhapura,2023,11,106.68,30.75,85.26,67.68,27.79,23.1,77.01
Cinnamon,Sri Lanka,Kalutara,2023,4,204.09,29.42,72.83,57.14,24.2,19.89,0.63
Rubber,Sri Lanka,Kegalle,2018,1,206.01,24.75,78.21,53.28,18.0,17.62,1.53
Rubber,Sri Lanka,Kegalle,2017,2,160.53,31.94,78.0,69.93,22.14,22.53,1.73
Sugarcane,Sri Lanka,Polonnaruwa,2017,7,98.65,32.91,78.8,52.13,22.06,15.0,81.37
Tea,Sri Lanka,Ratnapura,2020,7,212.85,22.31,86.75,78.24,24.56,24.83,2.4
Rubber,Sri Lanka,Kegalle,2015,6,227.31,29.4,76.37,64.84,20.77,20.25,1.54
Tea,Sri Lanka,Nuwara Eliya,2025,6,259.12,26.97,77.97,64.49,23.26,17.42,2.19
Rubber,Sri Lanka,Matara,2025,3,153.85,27.02,88.09,57.27,26.93,20.52,1.75
Rice,Sri Lanka,Trincomalee,2021,5,149.88,26.3,86.04,67.45,24.32,20.48,4.8
Tea,Sri Lanka,Kandy,2021,10,174.85,24.91,78.28,72.63,23.94,19.13,2.11
Sugarcane,Sri Lanka,Anuradhapura,2022,9,84.05,28.71,78.43,71.81,21.22,23.0,78.38
Rice,Sri Lanka,Trincomalee,2020,9,218.73,24.87,78.57,65.74,22.83,19.23,4.4
Sugarcane,Sri Lanka,Anuradhapura,2024,8,98.76,30.76,90.3,79.28,29.89,28.0,77.11
Tea,Sri Lanka,Kandy,2025,2,140.72,22.34,82.96,74.08,29.18,28.0,2.54
Sugarcane,Sri Lanka,Kurunegala,2023,9,124.93,28.48,76.2,71.38,25.08,16.36,79.5
Rubber,Sri Lanka,Galle,2016,7,218.82,34.65,78.15,59.26,20.26,27.78,1.79
Rice,Sri Lanka,Kurunegala,2015,5,234.27,29.76,82.88,56.67,28.11,20.07,3.89
Tea,Sri Lanka,Nuwara Eliya,2021,8,316.94,25.55,77.46,59.51,28.57,20.54,2.37
Tea,Sri Lanka,Matara,2019,4,222.83,23.17,81.77,69.89,19.27,26.47,1.93
Rubber,Sri Lanka,Galle,2024,6,279.53,34.16,78.9,64.08,30.95,23.0,1.5
Rice,Sri Lanka,Kurunegala,2017,6,309.42,25.95,76.81,63.1,23.98,24.53,4.05
Rubber,Sri Lanka,Kegalle,2020,2,133.71,26.33,73.73,68.36,19.7,16.82,1.6
Rubber,Sri Lanka,Ratnapura,2015,8,166.45,27.31,75.5,64.75,31.57,15.84,1.56
Rice,Sri Lanka,Kurunegala,2022,10,162.63,26.19,73.95,67.56,23.27,21.19,5.13
Rubber,Sri Lanka,Kalutara,2019,3,159.71,29.19,74.2,61.14,22.97,18.96,1.37
Cinnamon,Sri Lanka,Matara,2022,5,193.34,31.39,74.83,53.06,24.47,23.39,0.57
Sugarcane,Sri Lanka,Kurunegala,2017,8,163.29,34.31,79.84,71.93,25.24,16.84,67.78
Cinnamon,Sri Lanka,Kalutara,2024,1,160.59,24.43,69.08,58.57,20.56,15.83,0.62
Rubber,Sri Lanka,Galle,2025,12,209.44,26.84,80.61,61.35,32.0,22.75,1.68
Tea,Sri Lanka,Kandy,2015,5,248.06,25.92,82.5,66.42,32.0,27.5,2.31
Rice,Sri Lanka,Trincomalee,2025,6,251.72,32.56,79.57,63.06,23.91,17.56,4.16
Sugarcane,Sri Lanka,Anuradhapura,2023,10,95.61,33.38,77.11,68.7,18.0,20.86,78.61
Tea,Sri Lanka,Ratnapura,2022,3,145.2,24.01,73.22,55.9,20.46,18.17,1.92
Rice,Sri Lanka,Batticaloa,2020,3,98.96,31.23,81.96,68.55,19.21,17.26,4.38
Rice,Sri Lanka,Kurunegala,2023,5,168.32,30.03,74.09,58.32,19.05,19.38,4.68
Rubber,Sri Lanka,Kalutara,2017,4,179.59,27.59,72.67,64.98,19.98,15.0,1.68
Rice,Sri Lanka,Polonnaruwa,2019,7,227.24,27.27,76.39,61.78,26.74,20.11,4.44
Tea,Sri Lanka,Badulla,2024,7,292.24,21.42,75.73,69.39,22.05,15.44,2.39
Tea,Sri Lanka,Nuwara Eliya,2016,3,151.93,22.86,79.63,67.45,25.94,23.37,2.0
Sugarcane,Sri Lanka,Anuradhapura,2024,8,138.61,33.54,82.68,63.34,22.2,23.61,76.07
Rubber,Sri Lanka,Galle,2016,10,175.18,29.47,80.81,58.26,31.96,20.22,1.52
Rice,Sri Lanka,Jaffna,2015,1,138.35,27.49,73.78,58.14,18.57,19.0,4.45
Tea,Sri Lanka,Kandy,2025,7,326.19,26.14,81.5,74.05,20.04,25.81,2.05
Sugarcane,Sri Lanka,Kurunegala,2017,8,145.78,27.23,74.81,48.24,21.93,15.0,79.17
Cinnamon,Sri Lanka,Galle,2022,3,141.52,25.79,81.5,76.85,21.79,15.01,0.68
Cinnamon,Sri Lanka,Kalutara,2021,7,256.6,26.84,77.87,57.23,27.4,24.37,0.48
Sugarcane,Sri Lanka,Polonnaruwa,2025,12,90.02,30.64,69.67,52.97,22.06,17.59,78.63
Tea,Sri Lanka,Nuwara Eliya,2017,6,304.27,23.79,75.63,66.55,23.45,15.0,2.26
Tea,Sri Lanka,Nuwara Eliya,2015,2,181.76,22.46,74.03,52.74,20.85,18.69,2.04
Rubber,Sri Lanka,Galle,2015,7,272.98,28.99,76.1,59.33,18.0,15.0,1.67
Rubber,Sri Lanka,Galle,2017,8,261.83,28.87,80.71,61.3,24.69,22.04,1.62
Tea,Sri Lanka,Matara,2020,10,138.99,24.79,79.47,57.73,27.64,21.1,1.86
Rubber,Sri Lanka,Kegalle,2018,4,143.85,33.49,73.32,62.47,20.87,20.76,1.67
Rice,Sri Lanka,Batticaloa,2022,2,96.77,26.56,72.31,54.29,23.75,23.13,5.06
Tea,Sri Lanka,Nuwara Eliya,2025,2,194.23,19.33,75.83,64.11,26.3,16.94,2.2
Rice,Sri Lanka,Polonnaruwa,2024,4,135.18,27.82,77.72,56.61,27.97,15.0,4.91
Cinnamon,Sri Lanka,Galle,2018,2,146.43,24.33,71.82,68.24,21.29,20.02,0.81
Rubber,Sri Lanka,Ratnapura,2024,6,187.22,32.41,81.76,66.63,22.99,18.61,1.3
Tea,Sri Lanka,Nuwara Eliya,2022,6,218.87,21.34,76.85,57.54,22.82,23.19,2.56
Tea,Sri Lanka,Nuwara Eliya,2015,10,274.41,23.2,70.83,50.57,23.54,15.91,2.43
Tea,Sri Lanka,Badulla,2020,7,219.67,24.98,80.34,72.35,30.96,19.65,2.21
Cinnamon,Sri Lanka,Kalutara,2021,1,120.51,25.15,75.13,52.81,19.45,15.0,0.63
Rice,Sri Lanka,Jaffna,2019,3,105.84,27.59,79.25,68.53,22.21,16.77,4.84
Rice,Sri Lanka,Polonnaruwa,2023,2,82.18,27.11,86.3,67.2,29.43,17.41,3.9
Sugarcane,Sri Lanka,Anuradhapura,2020,1,79.32,27.31,82.2,59.78,22.95,23.19,72.94
Rubber,Sri Lanka,Kegalle,2018,5,186.05,30.99,84.72,73.09,26.9,21.44,1.47
Rubber,Sri Lanka,Ratnapura,2021,5,242.7,35.66,72.58,72.74,19.66,15.0,1.73
Rice,Sri Lanka,Jaffna,2022,3,79.25,28.09,81.12,66.16,29.65,19.98,4.42
Rubber,Sri Lanka,Ratnapura,2017,8,217.88,34.7,76.35,76.14,18.39,22.42,1.6
Sugarcane,Sri Lanka,Anuradhapura,2024,5,105.79,28.6,88.37,70.32,27.6,16.15,70.9
Tea,Sri Lanka,Matara,2020,3,157.04,19.76,86.13,56.63,24.9,27.0,2.16
Tea,Sri Lanka,Ratnapura,2023,9,221.31,23.6,74.92,58.18,22.89,16.43,1.81
Cinnamon,Sri Lanka,Kalutara,2015,4,147.38,29.34,80.43,57.58,23.86,15.12,0.54
Rubber,Sri Lanka,Ratnapura,2018,12,224.72,25.86,82.41,58.55,18.37,17.05,1.68
Rubber,Sri Lanka,Matara,2015,7,209.67,26.36,88.09,60.46,24.23,27.3,1.46
Sugarcane,Sri Lanka,Polonnaruwa,2024,8,74.5,35.75,84.71,60.16,18.34,26.8,72.22
Sugarcane,Sri Lanka,Kurunegala,2018,6,136.84,28.58,76.31,46.0,28.6,17.59,74.16
Rice,Sri Lanka,Jaffna,2023,2,108.62,27.49,86.06,56.37,20.36,27.28,3.71
Sugarcane,Sri Lanka,Kurunegala,2024,3,74.8,33.61,75.38,63.35,21.11,15.73,77.46
Rice,Sri Lanka,Trincomalee,2025,2,105.49,30.33,79.04,68.73,29.03,26.4,4.72
Sugarcane,Sri Lanka,Kurunegala,2015,3,70.06,30.79,85.6,69.36,24.47,16.57,76.17
Cinnamon,Sri Lanka,Matara,2019,8,166.63,26.76,78.12,68.34,23.82,18.13,0.78
Rice,Sri Lanka,Trincomalee,2019,12,105.22,29.07,73.11,61.68,19.03,25.66,4.53
Rubber,Sri Lanka,Kegalle,2025,12,187.34,32.51,79.14,56.78,26.45,20.01,1.47
Rubber,Sri Lanka,Galle,2015,9,176.46,28.84,74.91,52.79,19.11,18.66,1.61
Sugarcane,Sri Lanka,Anuradhapura,2015,8,113.72,30.6,71.48,63.92,23.78,16.18,74.37
Cinnamon,Sri Lanka,Matara,2022,7,224.77,29.74,85.36,65.8,25.9,16.96,0.64
Cinnamon,Sri Lanka,Matara,2017,10,162.89,30.35,73.98,50.12,18.68,20.62,0.83
Sugarcane,Sri Lanka,Anuradhapura,2016,1,86.0,28.2,74.88,67.04,27.96,16.82,71.51
Tea,Sri Lanka,Ratnapura,2025,4,189.95,25.13,63.17,57.25,18.46,16.24,2.18
Tea,Sri Lanka,Matara,2020,1,159.73,24.31,78.45,60.35,26.98,19.6,2.02
Rice,Sri Lanka,Polonnaruwa,2020,8,187.23,32.71,81.22,61.16,25.16,24.46,4.05
Rice,Sri Lanka,Jaffna,2020,4,124.86,31.56,81.31,65.54,24.82,15.0,3.74
Cinnamon,Sri Lanka,Kalutara,2016,2,132.01,25.13,78.86,69.11,23.36,23.71,0.57
Tea,Sri Lanka,Nuwara Eliya,2016,3,134.11,19.77,84.39,70.87,23.08,26.95,2.51
Rice,Sri Lanka,Jaffna,2018,3,94.08,30.32,77.47,62.49,21.23,17.98,4.46
Rice,Sri Lanka,Kurunegala,2020,6,164.76,29.06,75.55,48.36,28.07,15.82,4.34
Rice,Sri Lanka,Anuradhapura,2020,11,149.63,26.85,85.66,68.6,26.86,26.39,3.84
Rice,Sri Lanka,Anuradhapura,2019,1,135.96,28.72,75.1,56.4,22.18,17.87,5.0
Tea,Sri Lanka,Kandy,2021,8,318.05,22.06,76.29,62.41,20.38,18.21,2.36
Rice,Sri Lanka,Kurunegala,2015,11,122.64,24.68,80.97,71.52,23.91,21.17,4.43
Cinnamon,Sri Lanka,Kalutara,2022,3,82.39,26.65,81.7,58.42,21.61,15.59,0.66
Rubber,Sri Lanka,Ratnapura,2023,8,217.61,28.48,76.7,67.96,18.41,19.17,1.7
Tea,Sri Lanka,Ratnapura,2023,3,158.5,19.61,75.0,68.53,26.4,16.21,2.24
Tea,Sri Lanka,Nuwara Eliya,2018,4,166.32,19.19,76.98,55.21,26.92,21.48,2.17
Cinnamon,Sri Lanka,Galle,2022,2,116.46,27.53,79.07,64.62,24.69,19.45,0.64
Cinnamon,Sri Lanka,Kalutara,2019,10,184.58,22.82,74.69,49.14,23.36,17.5,0.76
Cinnamon,Sri Lanka,Galle,2025,10,186.27,27.97,79.27,63.74,25.64,18.25,0.74
Cinnamon,Sri Lanka,Galle,2022,8,217.47,32.13,86.31,62.67,23.42,19.34,0.6
Tea,Sri Lanka,Nuwara Eliya,2018,1,243.04,22.03,79.45,67.8,26.51,16.18,2.29
Rice,Sri Lanka,Kurunegala,2023,11,101.97,26.14,77.89,53.37,25.0,20.15,4.23
Sugarcane,Sri Lanka,Kurunegala,2019,6,131.09,32.35,77.06,64.38,27.77,16.24,72.82
Rice,Sri Lanka,Trincomalee,2019,12,125.6,28.34,62.76,48.08,18.0,16.11,4.38
Rice,Sri Lanka,Trincomalee,2016,8,198.3,27.73,72.45,61.24,18.0,26.86,4.54
Rubber,Sri Lanka,Galle,2015,12,160.39,31.48,66.78,55.78,18.0,15.0,1.55
Cinnamon,Sri Lanka,Matara,2023,6,225.03,25.98,76.59,56.15,18.0,15.0,0.58
Sugarcane,Sri Lanka,Kurunegala,2015,3,75.28,30.9,77.87,66.88,18.56,21.16,74.85
Rubber,Sri Lanka,Ratnapura,2020,12,120.41,31.97,85.85,61.12,27.14,22.72,1.46
Sugarcane,Sri Lanka,Polonnaruwa,2018,2,62.45,29.66,72.88,56.04,19.71,21.75,80.12
Rice,Sri Lanka,Trincomalee,2020,4,154.01,24.19,83.91,71.44,23.63,20.21,5.06
Rubber,Sri Lanka,Galle,2024,2,190.17,25.98,73.84,51.51,23.48,24.87,1.63
Rice,Sri Lanka,Polonnaruwa,2020,6,232.25,30.2,78.1,56.35,18.0,25.05,4.7
Sugarcane,Sri Lanka,Polonnaruwa,2016,9,93.95,30.75,72.87,67.51,18.0,17.38,79.46
Rubber,Sri Lanka,Ratnapura,2021,7,199.53,32.21,81.78,65.64,20.24,20.85,1.54
Rubber,Sri Lanka,Kegalle,2024,8,225.47,30.53,77.85,71.64,24.19,17.5,1.5
Rubber,Sri Lanka,Ratnapura,2015,2,120.84,30.6,86.9,67.41,25.34,28.0,1.54
Rubber,Sri Lanka,Matara,2021,7,188.18,28.8,77.84,48.2,18.0,17.41,1.71
Sugarcane,Sri Lanka,Anuradhapura,2022,7,121.6,36.57,80.03,68.98,22.25,17.53,75.57
Sugarcane,Sri Lanka,Polonnaruwa,2020,3,73.87,32.33,76.93,62.73,19.86,15.42,77.24
Sugarcane,Sri Lanka,Polonnaruwa,2025,8,142.54,29.84,73.6,58.93,22.64,17.51,77.36
Tea,Sri Lanka,Ratnapura,2024,7,258.23,22.63,85.47,73.85,26.29,19.6,2.35
Cinnamon,Sri Lanka,Galle,2016,8,163.65,28.9,81.59,72.11,31.48,20.91,0.68
Rubber,Sri Lanka,Kalutara,2016,3,143.23,26.78,75.65,48.39,24.18,20.75,1.45
Cinnamon,Sri Lanka,Kalutara,2017,4,160.23,24.79,77.32,55.05,27.78,18.6,0.76
Rice,Sri Lanka,Trincomalee,2018,8,240.49,32.5,76.22,68.17,20.47,19.23,4.52
Rice,Sri Lanka,Jaffna,2022,11,164.33,27.32,71.15,63.72,18.84,20.07,4.78
Tea,Sri Lanka,Badulla,2021,6,285.84,21.97,75.12,68.27,18.0,18.35,2.65
Rice,Sri Lanka,Trincomalee,2018,6,165.56,31.94,76.99,62.06,28.87,22.74,4.15
Sugarcane,Sri Lanka,Kurunegala,2024,1,82.18,25.89,84.02,79.75,18.0,23.19,65.73
Cinnamon,Sri Lanka,Kalutara,2020,10,146.05,24.9,86.17,74.28,31.86,15.5,0.58
Sugarcane,Sri Lanka,Anuradhapura,2018,10,89.62,25.3,72.65,72.05,19.26,19.54,82.34
Sugarcane,Sri Lanka,Kurunegala,2018,6,143.85,34.93,80.17,48.68,23.6,24.73,72.18
Rice,Sri Lanka,Batticaloa,2025,3,71.39,30.43,72.53,60.09,20.41,24.59,5.11
Sugarcane,Sri Lanka,Polonnaruwa,2023,11,79.82,30.3,88.99,67.64,28.58,19.31,74.29
Tea,Sri Lanka,Kandy,2025,12,174.92,21.22,82.2,70.1,25.75,22.92,2.34
Sugarcane,Sri Lanka,Kurunegala,2022,2,68.15,26.56,78.68,49.32,27.45,17.62,72.28
Tea,Sri Lanka,Matara,2016,5,250.24,21.54,71.45,59.91,26.73,20.57,2.44
Tea,Sri Lanka,Kandy,2024,5,278.1,22.91,82.01,71.9,19.04,21.51,2.5
Sugarcane,Sri Lanka,Polonnaruwa,2021,6,155.9,30.04,74.12,53.07,18.0,15.0,71.67
Sugarcane,Sri Lanka,Kurunegala,2020,7,117.21,27.25,77.99,73.0,23.16,24.23,73.26
Rubber,Sri Lanka,Galle,2022,10,152.0,24.69,76.32,59.29,26.0,22.03,1.6
Tea,Sri Lanka,Matara,2024,11,217.58,21.82,89.66,84.1,27.53,15.03,2.24
Cinnamon,Sri Lanka,Kalutara,2019,7,188.29,27.52,76.41,61.91,19.72,17.67,0.62
Sugarcane,Sri Lanka,Polonnaruwa,2024,3,66.96,33.2,77.89,61.8,22.54,16.84,68.3
Rice,Sri Lanka,Anuradhapura,2025,11,167.42,26.82,74.8,62.92,23.55,24.96,5.12
Sugarcane,Sri Lanka,Kurunegala,2018,10,122.82,29.04,77.6,67.77,22.43,15.33,75.36
Cinnamon,Sri Lanka,Galle,2017,3,119.38,26.85,75.27,54.95,20.42,16.58,0.58
Tea,Sri Lanka,Matara,2017,3,130.53,24.43,81.98,65.39,30.02,16.96,2.57
Rubber,Sri Lanka,Matara,2017,12,195.24,25.72,81.39,57.08,23.01,22.77,1.66
Sugarcane,Sri Lanka,Polonnaruwa,2020,4,92.43,31.93,75.76,54.06,29.79,17.81,77.37
Sugarcane,Sri Lanka,Polonnaruwa,2023,4,107.52,30.55,85.45,77.89,25.96,22.82,76.28
Cinnamon,Sri Lanka,Matara,2015,11,183.33,26.76,76.75,64.84,31.5,23.12,0.67
Sugarcane,Sri Lanka,Polonnaruwa,2016,8,106.79,35.18,73.82,56.79,23.3,19.29,80.66
Tea,Sri Lanka,Matara,2017,8,233.71,24.99,77.09,72.02,26.7,16.84,2.33
Rice,Sri Lanka,Trincomalee,2023,1,89.26,28.9,77.28,55.95,23.03,15.21,5.0
Tea,Sri Lanka,Kandy,2025,5,234.37,27.63,70.98,58.93,22.84,18.69,2.13
Rubber,Sri Lanka,Kalutara,2017,7,212.51,29.06,72.26,55.46,18.0,20.39,1.48
Rubber,Sri Lanka,Ratnapura,2022,11,181.7,32.72,73.8,46.52,23.63,19.69,1.55
Sugarcane,Sri Lanka,Kurunegala,2018,8,109.01,30.76,77.71,59.24,26.52,22.53,75.21
Tea,Sri Lanka,Kandy,2015,7,278.63,18.88,77.25,58.77,22.79,17.56,2.37
Sugarcane,Sri Lanka,Anuradhapura,2020,6,126.85,35.42,79.17,61.19,26.43,17.24,68.09
Rice,Sri Lanka,Anuradhapura,2022,10,202.52,25.36,74.44,56.55,24.78,15.0,4.03
Cinnamon,Sri Lanka,Kalutara,2020,10,132.77,29.27,72.9,52.15,20.33,20.98,0.67
Rice,Sri Lanka,Kurunegala,2020,5,154.92,31.16,79.29,58.22,23.11,15.0,4.34
Rice,Sri Lanka,Anuradhapura,2016,12,123.31,26.2,84.66,72.89,30.82,21.66,4.64
Tea,Sri Lanka,Badulla,2019,3,151.36,20.04,78.8,73.2,22.37,18.12,2.74
Tea,Sri Lanka,Nuwara Eliya,2022,9,232.0,20.75,73.88,59.57,23.87,23.83,2.43
Rice,Sri Lanka,Trincomalee,2023,5,196.34,27.48,72.98,59.01,18.0,15.0,4.83
Rice,Sri Lanka,Batticaloa,2020,11,124.72,23.67,74.92,55.23,24.73,15.0,4.66
Cinnamon,Sri Lanka,Galle,2020,12,145.19,23.85,85.25,64.61,28.92,19.6,0.69
Tea,Sri Lanka,Ratnapura,2022,4,204.91,23.96,79.61,64.13,23.44,22.62,2.43
Rice,Sri Lanka,Jaffna,2016,7,181.4,30.3,87.06,73.99,27.55,25.68,4.22
Cinnamon,Sri Lanka,Matara,2021,6,208.58,28.04,88.0,72.68,30.68,28.0,0.7
Cinnamon,Sri Lanka,Galle,2018,9,177.8,25.76,84.33,66.66,28.3,16.48,0.68
Sugarcane,Sri Lanka,Polonnaruwa,2020,5,124.72,33.63,87.34,66.13,26.09,28.0,73.91
Rubber,Sri Lanka,Galle,2024,11,144.99,24.12,76.53,63.29,21.66,15.0,1.71
Rice,Sri Lanka,Jaffna,2020,9,173.96,28.84,85.84,78.62,29.78,20.7,4.54
Rice,Sri Lanka,Jaffna,2023,1,132.93,26.89,75.48,59.34,25.34,23.69,4.76
Tea,Sri Lanka,Kandy,2017,4,191.47,21.17,71.24,56.55,18.11,21.86,2.2
Rubber,Sri Lanka,Ratnapura,2020,8,195.82,34.59,73.9,65.52,20.06,15.0,1.77
Sugarcane,Sri Lanka,Anuradhapura,2021,1,114.8,34.65,80.89,63.45,28.69,19.0,79.03
Rice,Sri Lanka,Polonnaruwa,2020,2,111.71,26.0,79.92,54.61,21.13,16.55,4.43
Cinnamon,Sri Lanka,Galle,2022,7,221.47,31.89,71.8,60.29,21.69,17.85,0.71
Sugarcane,Sri Lanka,Kurunegala,2020,12,77.4,26.94,83.35,64.85,21.04,18.92,70.71
Sugarcane,Sri Lanka,Anuradhapura,2017,5,145.8,33.95,70.18,54.43,19.73,15.0,77.35
Rubber,Sri Lanka,Galle,2023,8,228.48,34.45,81.77,70.09,26.32,24.69,1.48
Cinnamon,Sri Lanka,Galle,2016,1,163.85,24.14,67.27,61.63,23.8,19.21,0.66
Rubber,Sri Lanka,Matara,2024,10,207.36,29.27,85.55,65.25,18.82,28.0,1.59
Sugarcane,Sri Lanka,Anuradhapura,2018,4,127.41,35.04,79.12,70.64,27.46,16.63,76.42
Rubber,Sri Lanka,Matara,2019,7,275.39,27.58,81.53,63.62,23.71,15.0,1.78
Tea,Sri Lanka,Ratnapura,2021,3,148.32,19.0,77.59,54.14,18.0,22.68,2.41
Rubber,Sri Lanka,Kegalle,2017,9,135.75,33.15,69.79,53.9,18.93,16.25,1.3
Sugarcane,Sri Lanka,Polonnaruwa,2021,6,99.01,29.68,80.28,59.89,25.54,19.95,74.8
Rice,Sri Lanka,Polonnaruwa,2020,12,136.97,24.97,78.89,55.83,30.46,20.51,4.06
Cinnamon,Sri Lanka,Galle,2016,7,231.98,28.46,81.43,68.31,22.23,17.82,0.65
Rice,Sri Lanka,Trincomalee,2024,4,176.93,27.92,73.38,65.82,23.97,16.08,5.04
Sugarcane,Sri Lanka,Anuradhapura,2024,9,93.12,35.02,87.36,75.4,25.15,15.0,75.29
Rice,Sri Lanka,Jaffna,2020,11,179.56,27.85,73.27,48.27,23.05,19.47,4.8
Sugarcane,Sri Lanka,Anuradhapura,2015,12,83.42,25.95,69.25,54.6,18.0,15.27,64.54
Cinnamon,Sri Lanka,Matara,2023,4,183.69,29.81,79.75,71.03,23.54,22.16,0.73
Tea,Sri Lanka,Matara,2025,6,214.97,22.95,84.29,71.42,22.6,26.7,1.89
Sugarcane,Sri Lanka,Kurunegala,2016,6,143.83,30.78,77.98,58.13,19.0,18.26,73.9
Rubber,Sri Lanka,Ratnapura,2022,4,178.19,31.97,85.64,61.85,23.13,28.0,1.49
Sugarcane,Sri Lanka,Kurunegala,2017,4,101.18,27.47,88.4,78.55,32.0,23.95,71.51
Tea,Sri Lanka,Nuwara Eliya,2023,6,264.4,24.79,68.3,54.94,21.8,22.89,2.71
Sugarcane,Sri Lanka,Anuradhapura,2020,7,143.25,29.32,83.58,64.72,24.75,24.6,74.43
Tea,Sri Lanka,Matara,2022,2,204.65,20.77,83.08,52.62,20.06,18.63,2.07
Tea,Sri Lanka,Nuwara Eliya,2016,9,210.83,18.17,76.09,76.46,26.2,22.42,2.02
Cinnamon,Sri Lanka,Galle,2018,5,233.13,26.43,73.33,65.47,20.15,20.69,0.69
Rice,Sri Lanka,Polonnaruwa,2023,6,185.6,33.19,78.54,74.46,19.86,18.83,4.45
Rice,Sri Lanka,Kurunegala,2020,2,153.62,29.46,78.42,60.63,32.0,22.06,4.2
Tea,Sri Lanka,Ratnapura,2017,6,240.22,26.63,80.72,58.13,29.27,20.56,2.46
Rubber,Sri Lanka,Kalutara,2019,1,178.06,25.49,77.05,60.97,24.68,21.34,1.58
Rubber,Sri Lanka,Kegalle,2017,4,152.05,30.57,76.04,49.08,23.01,18.02,1.6
Tea,Sri Lanka,Badulla,2021,8,290.05,26.44,78.59,64.4,18.69,19.96,2.55
Rubber,Sri Lanka,Kalutara,2018,8,163.83,36.12,83.14,60.32,27.37,21.78,1.46
Tea,Sri Lanka,Badulla,2022,10,243.35,23.7,76.96,58.33,24.72,27.71,2.57
Tea,Sri Lanka,Badulla,2025,6,285.48,23.84,77.69,61.86,31.94,19.6,2.22
Tea,Sri Lanka,Ratnapura,2021,6,252.49,21.56,81.74,63.21,22.0,19.49,2.44
Tea,Sri Lanka,Badulla,2019,3,131.73,23.25,78.22,54.22,19.04,19.62,2.16
Rice,Sri Lanka,Trincomalee,2023,12,110.07,25.95,78.66,62.6,18.48,15.0,4.68
Sugarcane,Sri Lanka,Polonnaruwa,2023,10,97.0,31.3,73.36,55.8,22.56,15.0,74.74
Tea,Sri Lanka,Ratnapura,2023,6,237.38,19.28,78.75,68.02,18.0,22.27,2.16
Sugarcane,Sri Lanka,Polonnaruwa,2018,11,115.02,32.57,76.3,72.58,21.73,15.0,72.0
Cinnamon,Sri Lanka,Kalutara,2023,12,141.56,22.96,84.18,77.37,24.47,27.49,0.69
Sugarcane,Sri Lanka,Anuradhapura,2021,11,105.25,28.48,78.65,69.37,25.7,22.77,71.48
Sugarcane,Sri Lanka,Anuradhapura,2025,8,133.72,34.93,79.86,57.65,22.28,19.63,77.75
Rice,Sri Lanka,Batticaloa,2022,9,156.68,26.79,79.09,71.48,18.0,18.16,4.11
Rice,Sri Lanka,Jaffna,2020,7,248.74,30.28,77.42,53.42,26.97,24.8,3.96
Tea,Sri Lanka,Nuwara Eliya,2024,4,187.05,20.75,82.8,68.23,32.0,19.35,2.19
Cinnamon,Sri Lanka,Kalutara,2025,9,161.11,31.35,71.83,58.55,18.0,15.0,0.73
Sugarcane,Sri Lanka,Polonnaruwa,2017,10,97.96,29.94,76.49,60.99,23.07,23.13,71.88
Sugarcane,Sri Lanka,Anuradhapura,2018,4,126.35,28.98,80.81,62.87,25.44,22.28,67.21
Tea,Sri Lanka,Nuwara Eliya,2018,9,240.89,20.08,71.96,65.92,27.48,19.18,2.2
Sugarcane,Sri Lanka,Kurunegala,2020,1,70.06,29.22,77.48,63.81,19.55,16.4,73.35
Sugarcane,Sri Lanka,Anuradhapura,2023,2,89.05,34.29,75.8,57.25,24.34,19.36,76.71
Cinnamon,Sri Lanka,Matara,2016,12,145.71,28.14,82.08,66.63,18.0,20.44,0.83
Rice,Sri Lanka,Jaffna,2024,11,147.58,28.07,80.78,64.94,25.65,17.93,4.36
Tea,Sri Lanka,Kandy,2020,6,272.21,27.76,74.01,61.0,18.0,16.25,2.35
Sugarcane,Sri Lanka,Polonnaruwa,2023,10,107.35,35.31,76.27,57.68,24.09,17.16,60.25
Tea,Sri Lanka,Ratnapura,2015,11,213.08,21.91,81.9,58.92,25.39,25.0,2.45
Sugarcane,Sri Lanka,Polonnaruwa,2016,11,76.65,33.51,83.93,65.36,22.99,22.66,72.91
Cinnamon,Sri Lanka,Kalutara,2022,3,122.02,25.18,79.32,70.1,23.45,19.43,0.63
Sugarcane,Sri Lanka,Anuradhapura,2024,2,90.14,33.74,74.11,59.86,18.0,16.75,80.65
Tea,Sri Lanka,Kandy,2021,1,143.65,21.75,70.43,45.32,21.52,15.0,2.36
Sugarcane,Sri Lanka,Polonnaruwa,2017,7,104.39,30.8,80.59,57.84,18.9,15.0,76.92
Rice,Sri Lanka,Batticaloa,2024,5,170.1,31.16,75.73,65.59,27.4,17.37,3.85
Rice,Sri Lanka,Polonnaruwa,2023,12,109.59,28.01,79.48,64.44,22.15,15.0,4.71
Tea,Sri Lanka,Badulla,2016,4,183.98,23.93,75.26,64.77,19.25,21.44,2.14
